Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-01-31,107.4024998,107.4024998,107.4024998,107.4024998,22.5,0,0
2012-02-29,99.75750046,99.75750046,99.75750046,99.75750046,16.25,0,0
2012-03-31,96.89318258,96.89318258,96.89090972,96.89090972,10.45454545,0,0
2012-04-30,97.22750015,97.22750015,97.22750015,97.22750015,10.75,0,0
2012-05-31,87.88636433,87.88636433,87.88636433,87.88636433,41.59090909,0,0
2012-06-30,86.78809466,86.79523759,86.78809466,86.79523759,3.571428571,0,0
2012-07-31,89.54285722,89.54285722,89.54285722,89.54285722,20.71428571,0,0
2012-08-31,94.56304368,94.56304368,94.56304368,94.56304368,9.782608696,0,0
2012-09-30,90.67894825,90.67894825,90.67894825,90.67894825,39.47368421,0,0
2012-10-31,86.94761876,86.94761876,86.94761876,86.94761876,123.5714286,0,0
2012-11-30,88.11315838,88.11315838,88.11315838,88.11315838,44.21052632,0,0
2012-12-31,90.20333311,90.20333311,90.20333311,90.20333311,28.05555556,0,0
2013-01-31,86.50055525,86.5033332,86.50055525,86.5033332,73.61111111,0,0
2013-02-28,87.21466624,87.21466624,87.21466624,87.21466624,37.66666667,0,0
2013-03-31,87.09722137,87.09722137,87.09722137,87.09722137,23.05555556,0,0
2013-04-30,81.30333274,81.30333274,81.30333274,81.30333274,240.952381,0,0
2013-05-31,82.87250023,82.87250023,82.87250023,82.87250023,19.75,0,0
2013-06-30,75.11666658,75.11666658,75.11666658,75.11666658,61.66666667,0,0
2013-07-31,74.46052632,74.46052632,74.46052632,74.46052632,71.31578947,0,0
2013-08-31,75.53500023,75.53500023,75.53500023,75.53500023,19.5,0,0
2013-09-30,77.01111137,77.01111137,77.01111137,77.01111137,55,0,0
2013-10-31,83.24105273,83.24105273,83.24105273,83.24105273,26.84210526,0,0
2013-11-30,83.99444411,83.99444411,83.99444411,83.99444411,23.05555556,0,0
2013-12-31,84.70579047,84.70579047,84.68473776,84.68473776,43.94736842,0,0
2014-01-31,83.00750008,83.075,83.00750008,83.075,238.85,0,0
2014-02-28,78.40000063,78.40000063,78.40000063,78.40000063,41.47058824,0,0
2014-03-31,74.95421078,74.95421078,74.95421078,74.95421078,137.8947368,0,0
2014-04-30,76.76055612,76.76055612,76.76055612,76.76055612,164.1111111,0,0
2014-05-31,75.02894753,75.02894753,75.02894753,75.02894753,124.2105263,0,0
2014-06-30,72.64315836,72.64315836,72.64315836,72.64315836,76.84210526,0,0
2014-07-31,72.98722204,72.98722204,72.98722204,72.98722204,227.8333333,0,0
2014-08-31,77.15263166,77.15263166,77.15263166,77.15263166,65.78947368,0,0
2014-09-30,75.33149948,75.33149948,75.33149948,75.33149948,79.5,0,0
2014-10-31,72.46904755,72.46904755,72.46904755,72.46904755,137.3809524,0,0
2014-11-30,73.43529421,73.43823556,73.43529421,73.43823556,70,0,0
2014-12-31,71.48111089,71.49499978,71.48111089,71.49499978,80.27777778,0,0
2015-01-31,59.47631595,59.47631595,59.47631595,59.47631595,262.3684211,0,0
2015-02-28,61.71176462,61.71176462,61.71176462,61.71176462,97.05882353,0,0
2015-03-31,61.54949989,61.54949989,61.54949989,61.54949989,51.5,0,0
2015-04-30,59.24470565,59.24470565,59.24470565,59.24470565,62.64705882,0,0
2015-05-31,59.1999997,59.1999997,59.1999997,59.1999997,30.27777778,0,0
2015-06-30,57.66800003,57.66800003,57.66800003,57.66800003,51.75,0,0
2015-07-31,58.47749977,58.47749977,58.47749977,58.47749977,83,0,0
2015-08-31,56.34578966,56.34578966,56.34578966,56.34578966,103.5789474,0,0
2015-09-30,54.0016666,54.0016666,54.0016666,54.0016666,116.1111111,0,0
2015-10-31,52.1425005,52.1425005,52.14000034,52.14000034,133.75,0,0
2015-11-30,53.74611092,53.74611092,53.74333318,53.74333318,23.33333333,0,0
2015-12-31,47.86000004,47.86000004,47.86000004,47.86000004,64.5,0,0
2016-01-31,46.28055551,46.28055551,46.28055551,46.28055551,167.5555556,0,0
2016-02-29,43.84888924,43.84888924,43.84888924,43.84888924,51.33333333,0,0
2016-03-31,46.21099987,46.21099987,46.21099987,46.21099987,69.7,0,0
2016-04-30,45.31000004,45.31000004,45.31000004,45.31000004,119.85,0,0
2016-05-31,47.67894805,47.7026321,47.67894805,47.7026321,47.89473684,0,0
2016-06-30,51.03150024,51.03150024,51.03150024,51.03150024,61,0,0
2016-07-31,57.2026313,57.2026313,57.2026313,57.23421037,62.36842105,0,0
2016-08-31,60.32913042,60.32913042,60.28999992,60.28999992,71.73913043,0,0
2016-09-30,61.47894789,61.47894789,61.47631615,61.47631615,45,0,0
2016-10-31,76.15899963,76.15899963,76.15899963,76.15899963,200.9,0,0
2016-11-30,86.64149971,86.66399994,86.64149971,86.66399994,51.1,0,0
2016-12-31,87.27857208,87.27857208,87.27857208,87.27857208,41.9047619,0,0
2017-01-31,88.3010006,88.3010006,88.3010006,88.3010006,77.6,0,0
2017-02-28,82.61421043,82.61421043,82.61421043,82.61421043,59.89473684,0,0
2017-03-31,74.98260929,74.98260929,74.98260929,74.98260929,19.13043478,0,0
2017-04-30,75.46052632,75.46052632,75.46052632,75.46052632,31.47368421,0,0
2017-05-31,73.95681832,73.95681832,73.95681832,73.95681832,26.59090909,0,0
2017-06-30,78.53409126,78.53409126,78.53409126,78.53409126,21.81818182,0,0
2017-07-31,83.36650085,83.36650085,83.36650085,83.36650085,73.75,0,0
2017-08-31,84.77608755,84.77608755,84.77608755,84.77608755,51.73913043,0,0
2017-09-30,90.89749947,90.89749947,90.89749947,90.89749947,18.95,0,0
2017-10-31,91.7154541,91.7154541,91.70863585,91.70863585,61.18181818,0,0
2017-11-30,94.17618997,94.18809473,94.17618997,94.18809473,25.80952381,0,0
2017-12-31,94.50250015,94.50250015,94.50250015,94.50250015,29.45,0,0
2018-01-31,95.12999992,95.12999992,95.12999992,95.12999992,26.65,0,0
2018-02-28,85.20473641,85.20473641,85.20473641,85.20473641,36.57894737,0,0
2018-03-31,78.98333322,80.25,78.97857103,80.2452378,34.76190476,0,0
2018-04-30,81.4375,81.44250031,81.4375,81.44250031,19.5,0,0
2018-05-31,88.25181788,88.25181788,88.25181788,88.25181788,15.22727273,0,0
2018-06-30,94.56190527,96.07619113,94.56190527,96.07619113,17.95238095,0,0
2018-07-31,100.6847614,100.6847614,100.6847614,100.6847614,36.66666667,0,0
2018-08-31,96.99347753,96.99347753,96.99347753,96.99347753,33.47826087,0,0
2018-09-30,98.12526261,99.86736779,98.12526261,99.86736779,13.68421053,0,0
2018-10-31,100.0334788,100.0334788,100.0334788,100.0334788,19.47826087,0,0
2018-11-30,90.82142893,90.82142893,90.82142893,90.82142893,13.80952381,0,0
2018-12-31,87.80421046,87.80421046,87.80421046,87.80421046,6.842105263,0,0
2019-01-31,82.36666688,82.36666688,82.36666688,82.36666688,61.95238095,0,0
2019-02-28,74.74789469,74.75842084,74.74789469,74.75842084,15.78947368,0,0
2019-03-31,71.93095216,71.93095216,71.93095216,71.93095216,12.38095238,0,0
2019-04-30,59.7195242,59.74571464,59.7195242,59.74571464,36,0,0
2019-05-31,58.58181832,58.58181832,58.58181832,58.58181832,30.95454545,0,0
2019-06-30,50.6625,50.6625,50.6625,50.6625,27,0,0
2019-07-31,56.80136334,56.80136334,56.77636337,56.77636337,44.40909091,0,0
2019-08-31,55.94318182,55.94318182,55.94318182,55.94318182,13.63636364,0,0
2019-09-30,59.71100006,59.71100006,59.71100006,59.71100006,45.15,0,0
2019-10-31,59.87347843,59.87347843,59.87347843,59.87347843,26.2173913,0,0
2019-11-30,55.92500019,55.92500019,55.92500019,55.92500019,9.3,0,0
2019-12-31,54.04047666,54.04047666,54.04047666,54.04047666,14.04761905,0,0
2020-01-31,51.43809509,51.43809509,51.43809509,51.43809509,39.33333333,0,0
2020-02-29,48.85947378,48.85947378,48.8542107,48.85947378,21.05263158,0,0
2020-03-31,47.31181804,47.31181804,47.31181804,47.31181804,7.272727273,0,0
2020-04-30,44.61428588,45.33571443,44.61428588,45.33571443,45.14285714,0,0
2020-05-31,39.20750008,39.20750008,39.20750008,39.20750008,11,0,0
2020-06-30,44.97666677,44.97666677,44.97666677,44.97666677,15.71428571,0,0
2020-07-31,49.60227255,49.60227255,49.60227255,49.60227255,17.36363636,0,0
2020-08-31,49.56666638,49.56666638,49.56666638,49.56666638,10,0,0
2020-09-30,51.77736824,51.77736824,51.77736824,51.77736824,5.368421053,0,0
2020-10-31,56.88863616,56.88863616,56.88863616,56.88863616,16.5,0,0
2020-11-30,52.86149979,52.86149979,52.86149979,52.86149979,0.5,0,0
2020-12-31,64.25149975,64.25149975,64.25149975,64.25149975,7.2,0,0
2021-01-31,67.96764778,67.96764778,67.96764778,67.96764778,36,0,0
2021-02-28,66.02368485,66.12894821,66.02368485,66.12894821,5.421052632,0,0
2021-03-31,66.95590938,66.95590938,66.95590938,66.95590938,13.18181818,0,0
2021-04-30,70.50952403,70.50952403,70.50952403,70.50952403,3.428571429,0,0
2021-05-31,83.88499947,83.90749931,83.88499947,83.90749931,7.3,0,0
2021-06-30,107.2931813,107.2931813,107.2931813,107.2931813,15.77272727,0,0
2021-07-31,129.8571425,129.8571425,129.8571425,129.8571425,23.57142857,0,0
2021-08-31,147.0227287,147.0227287,147.0227287,147.0227287,49.54545455,0,0
2021-09-30,176.3190482,176.3190482,176.3190482,176.3190482,75.80952381,0,0
2021-10-31,238.2738095,238.2738095,238.2690473,238.2690473,32,0,0
2021-11-30,142.5857144,142.6261909,142.5857144,142.6261909,24.38095238,0,0
2021-12-31,137.5954545,137.5954545,137.5954545,137.5954545,5.863636364,0,0
2022-01-31,152.3319992,152.3319992,152.3319992,152.3319992,23.65,0,0
2022-02-28,185.7921038,185.7921038,185.7921038,185.7921038,3.684210526,0,0
2022-03-31,343.8326098,343.8326098,341.9847837,341.9847837,13.82608696,0,0
2022-04-30,309.6425003,309.6425003,309.6425003,309.6425003,5.95,0,0
2022-05-31,324.4295262,324.4295262,324.4295262,324.4295262,3.333333333,0,0
2022-06-30,337.6971436,337.6971436,337.6971436,337.6971436,19.61904762,0,0
2022-07-31,383.8925003,383.8925003,383.8925003,383.8925003,4,0,0
2022-08-31,355.2108712,355.2108712,355.2108712,355.2108712,5.173913043,0,0
2022-09-30,338.919047,338.919047,338.919047,338.919047,1.285714286,0,0
2022-10-31,271.6657134,271.6657134,271.6657134,271.6657134,0.476190476,0,0
2022-11-30,214.6847607,215.1119036,214.6847607,215.1119036,2,0,0
2022-12-31,243.419047,243.419047,243.419047,243.419047,0.476190476,0,0
2023-01-31,168.7524979,168.7524979,168.7524979,168.7524979,0.25,0,0
2023-02-28,136.7105255,136.7105255,136.7105255,136.7105255,0.526315789,0,0
2023-03-31,134.93913,134.93913,134.9304339,134.9304339,2.913043478,0,0
2023-04-30,138.0231572,138.0231572,138.0047358,138.0047358,0.052631579,0,0
2023-05-31,119.9354539,119.9354539,119.776363,119.8604539,0.909090909,0,0
2023-06-30,112.6547623,112.6547623,112.654286,112.654286,0,0,0
2023-07-31,110.4375,110.4375,110.4375,110.4375,4.9,0,0
2023-08-31,115.4613044,115.4613044,115.4613044,115.4613044,0.391304348,0,0
2023-09-30,120.3135002,120.3135002,120.3135002,120.3135002,0.65,0,0
2023-10-31,131.3581831,131.3581831,131.3536373,131.3536373,1.363636364,0,0
2023-11-30,121.8619047,121.8619047,121.8619047,121.8619047,0.476190476,0,0
2023-12-31,118.1900005,118.1900005,118.1825005,118.1825005,0.6,0,0
2024-01-31,109.2576928,109.2576928,109.2576928,109.2576928,0,0,0
